2021-04-25 13:33:19.485002 IC 7 THERM 0: 23.62 C
2021-04-25 13:33:19.485002 IC 7 THERM 1: 23.75 C
2021-04-25 13:33:19.485002 IC 7 THERM 2: 23.71 C
2021-04-25 13:33:19.486971 BMS STATE: 1
2021-04-25 13:33:19.486971 BMS ERROR FLAGS: 0x00
2021-04-25 13:33:19.486971 BMS CURRENT: -29.05 A
2021-04-25 13:33:19.488693 BMS TOTAL CHARGE: 84394.3167 C
2021-04-25 13:33:19.488693 BMS TOTAL DISCHARGE: 6727.8593 C
2021-04-25 13:33:19.490538 REQUESTED TORQUE: 17.8 Nm
2021-04-25 13:33:19.492163 MCU STATE: 255
2021-04-25 13:33:19.492163 MCU BMS FAULT: True
2021-04-25 13:33:19.492163 MCU IMD FAULT: True
2021-04-25 13:33:19.492163 MCU INVERTER POWER: ON
2021-04-25 13:33:19.492163 MCU SHUTDOWN ABOVE THRESH: BF
2021-04-25 13:33:19.492163 MCU TEMPERATURE: 12877
2021-04-25 13:33:19.492163 MCU GLV VOLTAGE: 386.57 V
2021-04-25 13:33:19.495549 MCU PEDAL ACCEL 1: 2080
2021-04-25 13:33:19.495549 MCU PEDAL ACCEL 2: 1999
2021-04-25 13:33:19.495549 MCU PEDAL BRAKE: 422
2021-04-25 13:33:19.495549 MCU IMPLAUS ACCEL: 1
2021-04-25 13:33:19.495549 MCU IMPLAUS BRAKE: 1
2021-04-25 13:33:19.495549 MCU BRAKE ACT: 0
2021-04-25 13:33:19.495549 MCU TORQUE MAP MODE: 1
2021-04-25 13:33:19.497675 BAL IC0 CELL0: OFF
2021-04-25 13:33:19.497675 BAL IC0 CELL1: OFF
2021-04-25 13:33:19.497675 BAL IC0 CELL2: OFF
2021-04-25 13:33:19.497675 BAL IC0 CELL3: OFF
2021-04-25 13:33:19.497675 BAL IC0 CELL4: OFF
2021-04-25 13:33:19.497675 BAL IC0 CELL5: OFF
2021-04-25 13:33:19.497675 BAL IC0 CELL6: OFF
2021-04-25 13:33:19.497675 BAL IC0 CELL7: OFF
2021-04-25 13:33:19.497675 BAL IC0 CELL8: OFF
2021-04-25 13:33:19.497675 BAL IC1 CELL0: OFF
2021-04-25 13:33:19.497675 BAL IC1 CELL1: OFF
2021-04-25 13:33:19.497675 BAL IC1 CELL2: OFF
2021-04-25 13:33:19.497675 BAL IC1 CELL3: OFF
2021-04-25 13:33:19.497675 BAL IC1 CELL4: OFF
2021-04-25 13:33:19.497675 BAL IC1 CELL5: OFF
2021-04-25 13:33:19.497675 BAL IC1 CELL6: OFF
2021-04-25 13:33:19.497675 BAL IC1 CELL7: OFF
2021-04-25 13:33:19.497675 BAL IC1 CELL8: OFF
2021-04-25 13:33:19.497675 BAL IC2 CELL0: OFF
2021-04-25 13:33:19.497675 BAL IC2 CELL1: OFF
2021-04-25 13:33:19.497675 BAL IC2 CELL2: OFF
2021-04-25 13:33:19.497675 BAL IC2 CELL3: OFF
2021-04-25 13:33:19.497675 BAL IC2 CELL4: OFF
2021-04-25 13:33:19.497675 BAL IC2 CELL5: OFF
2021-04-25 13:33:19.497675 BAL IC2 CELL6: OFF
2021-04-25 13:33:19.497675 BAL IC2 CELL7: OFF
2021-04-25 13:33:19.497675 BAL IC2 CELL8: OFF
2021-04-25 13:33:19.497675 BAL IC3 CELL0: OFF
2021-04-25 13:33:19.497675 BAL IC3 CELL1: OFF
2021-04-25 13:33:19.497675 BAL IC3 CELL2: OFF
2021-04-25 13:33:19.497675 BAL IC3 CELL3: OFF
2021-04-25 13:33:19.497675 BAL IC3 CELL4: OFF
2021-04-25 13:33:19.497675 BAL IC3 CELL5: OFF
2021-04-25 13:33:19.497675 BAL IC3 CELL6: OFF
2021-04-25 13:33:19.497675 BAL IC3 CELL7: OFF
2021-04-25 13:33:19.497675 BAL IC3 CELL8: OFF
2021-04-25 13:33:19.497675 BAL IC4 CELL0: OFF
2021-04-25 13:33:19.497675 BAL IC4 CELL1: OFF
2021-04-25 13:33:19.497675 BAL IC4 CELL2: OFF
2021-04-25 13:33:19.497675 BAL IC4 CELL3: OFF
2021-04-25 13:33:19.497675 BAL IC4 CELL4: OFF
2021-04-25 13:33:19.497675 BAL IC4 CELL5: OFF
2021-04-25 13:33:19.497675 BAL IC4 CELL6: OFF
2021-04-25 13:33:19.497675 BAL IC4 CELL7: OFF
2021-04-25 13:33:19.497675 BAL IC4 CELL8: OFF
2021-04-25 13:33:19.497675 BAL IC5 CELL0: OFF
2021-04-25 13:33:19.497675 BAL IC5 CELL1: OFF
2021-04-25 13:33:19.497675 BAL IC5 CELL2: OFF
2021-04-25 13:33:19.497675 BAL IC5 CELL3: OFF
2021-04-25 13:33:19.497675 BAL IC5 CELL4: OFF
2021-04-25 13:33:19.497675 BAL IC5 CELL5: OFF
2021-04-25 13:33:19.497675 BAL IC5 CELL6: OFF
2021-04-25 13:33:19.497675 BAL IC5 CELL7: OFF
2021-04-25 13:33:19.497675 BAL IC5 CELL8: OFF
2021-04-25 13:33:19.497675 BAL IC6 CELL0: OFF
2021-04-25 13:33:19.497675 BAL IC6 CELL1: OFF
2021-04-25 13:33:19.497675 BAL IC6 CELL2: OFF
2021-04-25 13:33:19.497675 BAL IC6 CELL3: OFF
2021-04-25 13:33:19.497675 BAL IC6 CELL4: OFF
2021-04-25 13:33:19.497675 BAL IC6 CELL5: OFF
2021-04-25 13:33:19.497675 BAL IC6 CELL6: OFF
2021-04-25 13:33:19.497675 BAL IC6 CELL7: OFF
2021-04-25 13:33:19.497675 BAL IC6 CELL8: OFF
2021-04-25 13:33:19.497675 BAL IC7 CELL0: OFF
2021-04-25 13:33:19.497675 BAL IC7 CELL1: OFF
2021-04-25 13:33:19.497675 BAL IC7 CELL2: OFF
2021-04-25 13:33:19.497675 BAL IC7 CELL3: OFF
2021-04-25 13:33:19.497675 BAL IC7 CELL4: OFF
2021-04-25 13:33:19.497675 BAL IC7 CELL5: OFF
2021-04-25 13:33:19.497675 BAL IC7 CELL6: OFF
2021-04-25 13:33:19.497675 BAL IC7 CELL7: OFF
2021-04-25 13:33:19.497675 BAL IC7 CELL8: OFF
2021-04-25 13:33:19.500061 BAL IC4 CELL0: OFF
2021-04-25 13:33:19.500061 BAL IC4 CELL1: OFF
2021-04-25 13:33:19.500061 BAL IC4 CELL2: OFF
2021-04-25 13:33:19.500061 BAL IC4 CELL3: OFF
2021-04-25 13:33:19.500061 BAL IC4 CELL4: OFF
2021-04-25 13:33:19.500061 BAL IC4 CELL5: OFF
2021-04-25 13:33:19.500061 BAL IC4 CELL6: OFF
2021-04-25 13:33:19.500061 BAL IC4 CELL7: OFF
2021-04-25 13:33:19.500061 BAL IC4 CELL8: OFF
2021-04-25 13:33:19.500061 BAL IC5 CELL0: OFF
2021-04-25 13:33:19.500061 BAL IC5 CELL1: OFF
2021-04-25 13:33:19.500061 BAL IC5 CELL2: OFF
2021-04-25 13:33:19.500061 BAL IC5 CELL3: OFF
2021-04-25 13:33:19.500061 BAL IC5 CELL4: OFF
2021-04-25 13:33:19.500061 BAL IC5 CELL5: OFF
2021-04-25 13:33:19.500061 BAL IC5 CELL6: OFF
2021-04-25 13:33:19.500061 BAL IC5 CELL7: OFF
2021-04-25 13:33:19.500061 BAL IC5 CELL8: OFF
2021-04-25 13:33:19.500061 BAL IC6 CELL0: OFF
2021-04-25 13:33:19.500061 BAL IC6 CELL1: OFF
2021-04-25 13:33:19.500061 BAL IC6 CELL2: OFF
2021-04-25 13:33:19.500061 BAL IC6 CELL3: OFF
2021-04-25 13:33:19.500061 BAL IC6 CELL4: OFF
2021-04-25 13:33:19.500061 BAL IC6 CELL5: OFF
2021-04-25 13:33:19.500061 BAL IC6 CELL6: OFF
2021-04-25 13:33:19.500061 BAL IC6 CELL7: OFF
2021-04-25 13:33:19.500061 BAL IC6 CELL8: OFF
2021-04-25 13:33:19.500061 BAL IC7 CELL0: OFF
2021-04-25 13:33:19.500061 BAL IC7 CELL1: OFF
2021-04-25 13:33:19.500061 BAL IC7 CELL2: OFF
2021-04-25 13:33:19.500061 BAL IC7 CELL3: OFF
2021-04-25 13:33:19.500061 BAL IC7 CELL4: OFF
2021-04-25 13:33:19.500061 BAL IC7 CELL5: OFF
2021-04-25 13:33:19.500061 BAL IC7 CELL6: OFF
2021-04-25 13:33:19.500061 BAL IC7 CELL7: OFF
2021-04-25 13:33:19.500061 BAL IC7 CELL8: OFF
2021-04-25 13:33:19.500061 BAL IC8 CELL0: OFF
2021-04-25 13:33:19.500061 BAL IC8 CELL1: OFF
2021-04-25 13:33:19.500061 BAL IC8 CELL2: OFF
